Subject,Abbreviation,Semester
Stw,STW,3
PS,PS,3
IND4,IND4,3
Data Struc,DS,3
Digi Sys Design,DSD,3
AFL,AFL,3
DS Lab,DS-(L),3
DSD Lab,DSD-(L),3
