Subject,Abbreviation,Semester
DM,DM,4
OS,OS,4
OOPJ,OOPJ,4
DBMS,DBMS,4
COA,COA,4
OS Lab,OS-(L),4
Java Lab,OOPJ-(L),4
DBMS Lab,DBMS-(L),4
OB,OB,4
EOD,EOD,4
IEC,IEC,4
,,
Comp Photo,CP,4
Sound Eng,Sound_Eng,4
PCB Design,PCB,4
Cloud,Cloud,4
Linux,Linux,4
