Subject,Abbreviation,Semester
Eng Eco,EE,5
Desg and algo,DAA,5
Soft Eng,SE,5
Comp Net,CN,5
Algo Lab,Algo-(L),5
CN,CN-(L),5
High Performance Computing,HPC,5
ARM and Advanced Processor,ARM,5
Multi-Core Programming,MULTIPROG,5
Distributed Operating Systems,DOS,5
Computational Intelligence,CI,5
Data Mining and DataWarehousing,DM&DW,5
Image Processing and Applications,IPA,5
Compiler,COMPILER,5
